An Analysis of Final Project Reports,,,,,,,,,,,,,,
These are themes of interest that bubbled up out of the data.,,,,,"The data is derived from project reports, and source code examination.",,,,,,,,,
,Project Number (Randomized),,Salient Quotes,Mobile v. Desktop,Batched v. Realtime Interactions,Multiple Pens Desired?,TopTwoTags,Web Services? Mashups with Existing Apps? With Web Apps?,Platforms Other than Vanilla Java,Type of Input,Handwriting Recognition?,GestureRecognition,Feedback to Handheld? Or LCD,User Customized Forms?
GeoPhoto,1,A,Expertise,MOBILE,Batched,NO,Map; Photo,Flickr; GoogleMaps,NONE,TapSelect; CircleSelect,NO,NO,NO,YES
PenIsMightier,2,B,Didn't say anything bad about R3! =),MOBILE,Batched,NO,Blog; Share,LiveJournal,NONE,Ink,NO,NO,NO,NO
GGiD,3,C,Streaming >> Batched,MOBILE,Realtime,NO,News; Annotate,HTML; Email,FirefoxPlugin,Ink; TapSelect,YES,NO,NO,YES
Team42,4,D,Multiple Regions,MOBILE,Realtime,NO,Todos; Calendar,Email,JSP/Servlets,Ink; CheckSelect; CrossOutGesture,NO,YES,NO,NO
JS&A,5,E,NONE,MOBILE,Realtime,NO,Restaurant; Forms,NONE,NONE,TapSelect,NO,NO,NO,NO
JURMs,6,F,Need better HWRec,DESKTOP,Realtime,YES,Medicine; Forms,NONE,SQL,Ink; TapSelect,YES,NO,NO,NO
O,7,G,Homebrew,DESKTOP,Batched,YES,Games; Learn,GamesManApp,NONE,InkDrawings,NO,YES,NO,NO
KMAT,8,H,Coordinates; Constraints,MOBILE,Realtime,NO,Map; Search,GMail; Automotive.com; Mapquest; Yahoo; transit.511.org; ,PHP; SQL; SMTP; HTML,CircleSelect; TapSelect,NO,NO,YES,NO
4Corners,9,I,Batched,MOBILE,Batched,NO,Blog; Photo,NONE,NONE,Ink; GestureBox,NO,YES,NO,NO
ET,10,J,PADD,MOBILE,Realtime,YES,Exams; Automation,NONE,NONE,Ink; CircleSelect,NO,NO,NO,YES
PollPrecision,11,K,Constraints,DESKTOP,Realtime,YES,Voting; Statistics,NONE,NONE,TapSelect,NO,NO,NO,YES
Jigsaw,12,L,Streaming,DESKTOP,Realtime,NO,Web; Design,NONE,NONE,CheckSelect; InkDrawings; InkText,NO,NO,NO,NO
BluJay,13,M,BetterThanPaper,DESKTOP,Realtime,NO,Exams; Learn,NONE,NONE,Ink,NO,NO,NO,NO
Melody,14,N,SmallPatternedRegions,DESKTOP,Realtime,NO,Music; Automation,NONE,NONE,TapSelect; GestureMusicalNote,NO,YES,NO,NO
Anototators,15,O,Bundles; Debugging; PADD,DESKTOP,Realtime,YES,Medicine; Annotate,NONE,NONE,InkDrawings; Ink; TapSelect,NO,NO,NO,YES
Big Brother,16,P,Bundles; Ink Operations,MOBILE,Realtime,YES,Exams; Digitize,NONE,NONE,TapSelect; FillSelect; Ink,NO,NO,NO,NO
SEKS,17,Q,ToolkitSuccess,MOBILE,Realtime,NO,Todos; Digitize,GoogleCalendar,NONE,Ink; TapSelect,YES,NO,NO,NO


"We randomized the order of projects that we analyzed? to reduce biases, etc.",,,,,,,,,,,,,,





Steps for cleaning this data to create a nice info graphic.,,,,,,,,,,,,,,
